report_id,candidate_text,display_text,source_path,artifact_path,artifact_href,extension,copy_mode,source_sha256,artifact_sha256
bd0238c3fb4e,inits.json,output/inits.json,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/CoRoT-2 b/output/inits.json,output-evaluation/report-viewer/bd0238c3fb4e/files/artifact_001.json,/bd0238c3fb4e/files/artifact_001.json,.json,redacted_text_copy,a1f196a70a97473280b77b139e51be4d7fe816063f1098ae006f00431da01007,2145523845b7382b7acc42228ca2d4124c123fa263c0c8252782ae2260c77334
bd0238c3fb4e,WORKSPACES/runs/20260806-141911-586-7bb83bdc/output/FinalLightCurve_CoRoT-2 b_2026-08-01.png,output/FinalLightCurve_CoRoT-2 b_2026-08-01.png,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/CoRoT-2 b/output/FinalLightCurve_CoRoT-2 b_2026-08-01.png,output-evaluation/report-viewer/bd0238c3fb4e/files/artifact_002.png,/bd0238c3fb4e/files/artifact_002.png,.png,byte_copy,8c4c702434ff2c72e1f98372101ed00fb51382a3eb3fe1156cad599d3d167558,8c4c702434ff2c72e1f98372101ed00fb51382a3eb3fe1156cad599d3d167558
bd0238c3fb4e,WORKSPACES/runs/20260806-141911-586-7bb83bdc/output/temp/Triangle_CoRoT-2 b_2026-08-01.png,output/tmp/Triangle_CoRoT-2 b_2026-08-01.png,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/CoRoT-2 b/output/temp/Triangle_CoRoT-2 b_2026-08-01.png,output-evaluation/report-viewer/bd0238c3fb4e/files/artifact_003.png,/bd0238c3fb4e/files/artifact_003.png,.png,byte_copy,ffb08bdbaaaf0e3a59001bceb385f24d62808eca3c6391330d9065eb59034a3f,ffb08bdbaaaf0e3a59001bceb385f24d62808eca3c6391330d9065eb59034a3f
cb001e7cffe3,inits.json,output/inits.json,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-19 b/output/inits.json,output-evaluation/report-viewer/cb001e7cffe3/files/artifact_001.json,/cb001e7cffe3/files/artifact_001.json,.json,redacted_text_copy,6048a1c7501a386f1e46395408cb83152007247fae55b1f1c8deae5fb1750f00,e97fa5d6e061c43124ee34b5e79aa187af81455a8a639b2475f68889741d85a3
cb001e7cffe3,WORKSPACES/runs/20260806-141925-627-ae220fe9/output/FinalLightCurve_HAT-P-19 b_2026-07-11.png,output/FinalLightCurve_HAT-P-19 b_2026-07-11.png,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-19 b/output/FinalLightCurve_HAT-P-19 b_2026-07-11.png,output-evaluation/report-viewer/cb001e7cffe3/files/artifact_002.png,/cb001e7cffe3/files/artifact_002.png,.png,byte_copy,656f7162b8653662142f4458369e0ef6d553a4a5013604c635f4bdf9ecaccce5,656f7162b8653662142f4458369e0ef6d553a4a5013604c635f4bdf9ecaccce5
cb001e7cffe3,WORKSPACES/runs/20260806-141925-627-ae220fe9/output/temp/Triangle_HAT-P-19 b_2026-07-11.png,output/tmp/Triangle_HAT-P-19 b_2026-07-11.png,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-19 b/output/temp/Triangle_HAT-P-19 b_2026-07-11.png,output-evaluation/report-viewer/cb001e7cffe3/files/artifact_003.png,/cb001e7cffe3/files/artifact_003.png,.png,byte_copy,26c41f72295dbc551c77c4b15cfb95a143d5c20d64ab88a93386e7a4c6d15ad1,26c41f72295dbc551c77c4b15cfb95a143d5c20d64ab88a93386e7a4c6d15ad1
49e84a8864cf,WORKSPACES/runs/20260807-180535-943-79838107/output/FinalLightCurve_HAT-P-36 b_03-18-2026.png,output/FinalLightCurve_HAT-P-36 b_03-18-2026.png,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-36 b/output/FinalLightCurve_HAT-P-36 b_03-18-2026.png,output-evaluation/report-viewer/49e84a8864cf/files/artifact_001.png,/49e84a8864cf/files/artifact_001.png,.png,byte_copy,fd748e32ade9730116ce9dc96878a953631afdcfe357c1d324a2a9cd84f20e77,fd748e32ade9730116ce9dc96878a953631afdcfe357c1d324a2a9cd84f20e77
49e84a8864cf,output/temp/FinalParams_HAT-P-36 b_03-18-2026.json,output/tmp/FinalParams_HAT-P-36 b_03-18-2026.json,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-36 b/output/temp/FinalParams_HAT-P-36 b_03-18-2026.json,output-evaluation/report-viewer/49e84a8864cf/files/artifact_002.json,/49e84a8864cf/files/artifact_002.json,.json,redacted_text_copy,edd743904e995f2b3331077f58c2b91ea2be95cff9028d648d1de57d8ac0afd0,edd743904e995f2b3331077f58c2b91ea2be95cff9028d648d1de57d8ac0afd0
49e84a8864cf,output/temp/FinalLightCurve_HAT-P-36 b_03-18-2026.csv,output/tmp/FinalLightCurve_HAT-P-36 b_03-18-2026.csv,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-36 b/output/temp/FinalLightCurve_HAT-P-36 b_03-18-2026.csv,output-evaluation/report-viewer/49e84a8864cf/files/artifact_003.csv,/49e84a8864cf/files/artifact_003.csv,.csv,redacted_text_copy,d1cb734cedf810793e0ac9508c72197bb27e078301122e69df608e0a56e3e526,d1cb734cedf810793e0ac9508c72197bb27e078301122e69df608e0a56e3e526
49e84a8864cf,output/inits.json,output/inits.json,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-36 b/output/inits.json,output-evaluation/report-viewer/49e84a8864cf/files/artifact_004.json,/49e84a8864cf/files/artifact_004.json,.json,redacted_text_copy,b06f60e98b15f96176dbd527807108ac15cd9e5abbbd7652bbabea7840274218,59af945d6bdc5fdc18a2940e46458794cdba08773ba9a46f45c1d2aa0314abec
